token,count
"COPD (chronic obstructive pulmonary disease)",145
"Coronary atherosclerosis of native coronary artery",143
"Pre-operative cardiovascular examination",142
"Musculoskeletal and Injuries: Osteopenia",142
"Anemia",140
"Nonrheumatic aortic (valve) stenosis",140
"Prediabetes",139
"Sleep: Insomnia",138
"Carotid stenosis",138
"Aortic root dilatation",135
"Pulmonary and Pneumonias: Chronic obstructive pulmonary disease",135
"Endocrine and Metabolic: Acquired hypothyroidism",133
"Encounter for pre-operative cardiovascular clearance",133
"ENT: Allergic rhinitis",133
"Genitourinary and Reproductive: Chronic kidney disease",133
"SSS (sick sinus syndrome)",132
"Left bundle branch block",132
"Cardiac and Vasculature: Coronary artery disease involving native coronary artery of native heart without angina pectoris",132
"Endocrine and Metabolic: Disorder of thyroid",131
"Gastroesophageal reflux disease without esophagitis",127
"Dyspnea",125
"Endocrine and Metabolic: Hyperglycemia",124
"A-fib",123
"Preop cardiovascular exam",123
"Cardiac murmur",123
"H",121
"Infectious Disease: COVID-19",117
"Cardiac and Vasculature: Coronary atherosclerosis of native coronary artery",115
"Athscl heart disease of native coronary artery w",115
"Cardiac and Vasculature: Hypercholesteremia",113
"P PTCA (percutaneous transluminal coronary angioplasty)",112
"Tobacco: Former smoker",112
"Mental Health: Depressive disorder",109
"Palpitation",108
"Cancer",108
"Hypercholesterolemia",107
"Anxiety",106
"Musculoskeletal and Injuries: Osteoporosis",106
"LBBB (left bundle branch block)",106
"Pulmonary and Pneumonias: Pulmonary hypertension",106
"Cardiac pacemaker in situ",104
"Heart hypertrophy",103
"Musculoskeletal and Injuries: Fall",103
"Sleep: OSA on CPAP",102
"ENT: Vertigo",101
"AKI (acute kidney injury)",101
"Acquired hypothyroidism",101
"History of prosthetic heart valve",100
"Cardiac and Vasculature: S",100
"Cardiac and Vasculature: Atrial fibrillation",100
"Osteopenia",100
"Osteoporosis",98
"Fall",98
"Morbid obesity (CMS-HCC)",98
"Urinary retention",97
"Osteoarthritis",97
"Other right bundle-branch block",96
"both eyes",96
"Neuro: Neuropathy (CMS-hcc)",95
"P CABG (coronary artery bypass graft)",95
"Other specified peripheral vascular diseases",95
"RBBB (right bundle branch block)",94
"Hypokalemia",92
"Chronic obstructive pulmonary disease",92
"Sleep: Obstructive sleep apnea",91
"Right bundle branch block (RBBB)",91
"Mental Health: Generalized anxiety disorder",91
"Musculoskeletal and Injuries: Osteoarthritis",91
"Nonischemic cardiomyopathy",91
"Abnormal electrocardiogram",90
"Endocrine and Metabolic: Diabetes mellitus",90
"Chronic diastolic heart failure",88
"Atherosclerosis of coronary artery bypass graft of native heart without angina pectoris",88
"Fatigue",87
"Pulmonary and Pneumonias: SOB (shortness of breath)",87
"GERD (gastroesophageal reflux disease)",87
"Diabetes mellitus",85
"Coag and Thromboembolic: DVT (deep venous thrombosis)",84
"Iron deficiency anemia",84
"Tachycardia",84
"Edema",84
"Genitourinary and Reproductive: Hyponatremia",83
"Paroxysmal A-fib",82
"Sinus bradycardia",82
"Dizziness",81
"Neuropathy (CMS-hcc)",81
"Genitourinary and Reproductive: Stage 3a chronic kidney disease (CMS-HCC)",81
"Hyponatremia",81
"Hematology and Neoplasia: Iron deficiency anemia",80
"CKD (chronic kidney disease)",80
"Hematology and Neoplasia: Prostate cancer",79
"Coronary arteriosclerosis",79
"Depression",79
"Genitourinary and Reproductive: Hypokalemia",78
"Genitourinary and Reproductive: AKI (acute kidney injury)",78
"Atherosclerosis of native coronary artery without angina pectoris",78
"Cardiac and Vasculature: Athscl heart disease of native coronary artery w",78
"Cardiac and Vasculature: Cardiomyopathy",78
"Family History: Annual physical exam",77
"Hyperglycemia",77
"Type 2 diabetes mellitus",76
"Primary osteoarthritis involving multiple joints",75
"Pericardial effusion (HHS-HCC)",75
"HLD (hyperlipidemia)",75
"Cardiac and Vasculature: NSTEMI (non-ST elevated myocardial infarction)",75
"Endocrine and Metabolic: Type 2 diabetes mellitus without complications",75
"Musculoskeletal and Injuries: Gout",74
"Stage 3a chronic kidney disease (CMS-HCC)",74
"RBBB",73
"Diastolic heart failure",73
"Localized edema",73
"Low back pain",73
"Tobacco: Never smoked tobacco",72
"Hypertensive disorder",72
"Symptoms and Signs: Dizziness and giddiness",72
"Primary osteoarthritis of right knee",72
"Hypomagnesemia",72
"Cardiac and Vasculature: Dyslipidemia",72
"Tobacco: Personal history of nicotine dependence",71
"Impaired fasting glucose",71
"Persistent atrial fibrillation",71
"Genitourinary and Reproductive: Benign prostatic hyperplasia",70
"Syncope",70
"Coronary atherosclerosis",70
"Coag and Thromboembolic: Pulmonary embolism",70
"Thyroid disorder",68
"Elevated troponin",68
"Carotid artery stenosis",68
"Hypertensive heart disease",68
"Atrial flutter",68
"Genitourinary and Reproductive: Urinary retention",67
"Infectious Disease: COVID",67
"Cardiac and Vasculature: Other chest pain",67
"Chronic atrial fibrillation",67
"Family History: Preoperative clearance",67
"Chronic combined systolic and diastolic heart failure",66
"Hypertensive heart disease without CHF",66
"Symptoms and Signs: Chronic fatigue",66
"Primary osteoarthritis of left knee",66
"Genitourinary and Reproductive: BPH (benign prostatic hyperplasia)",65
"Other specified pulmonary heart diseases",65
"Spinal stenosis of lumbar region",65
"Diabetes",65
"TIA (transient ischemic attack)",64
"Tobacco: Tobacco user",64
"Generalized anxiety disorder",63
"Exercise counseling",63
"Symptoms and Signs: Syncope and collapse",63
"Chronic systolic heart failure",62
"right eye",62
"left eye",62
"Hiatal hernia",62
"Stroke",62
"Cardiac and Vasculature: Hypertensive heart disease without heart failure",62
"Asthma (HHS-HCC)",62
"Endocrine and Metabolic: Impaired fasting glucose",61
"Cardiac and Vasculature: A-fib",61
"Hematology and Neoplasia: Leukocytosis",61
"Mitral valve prolapse",61
"lumbar region",60
"Carotid bruit",60
"Nonrheumatic aortic valve regurgitation",60
"Cardiac and Vasculature: CAD (coronary artery disease)",59
"Thyroid nodule",59
"Left ventricular hypertrophy",59
"Pulmonary hypertension",59
"PFO (patent foramen ovale) (HHS-HCC)",59
"Hypertensive heart disease with congestive heart failure",58
"ENT: Hearing loss",58
"adult (CMS-HCC)",58
"Stage 3b chronic kidney disease (CMS-HCC)",58
"o angina pectoris",58
"History of colonic polyps",57
"Endocrine and Metabolic: Morbid obesity (CMS-HCC)",57
"Genitourinary and Reproductive: Stage 3 chronic kidney disease (CMS-HCC)",57
"Lumbar radiculopathy",57
"Atherosclerosis of aorta (CMS-hcc)",57
"Orthostatic hypotension",56
"Eye: Glaucoma",56
"Pulmonary and Pneumonias: Mild intermittent asthma without complication (HHS-HCC)",56
"Pulmonary and Pneumonias: Pleural effusion",56
"Cataract",55
"Musculoskeletal and Injuries: Rheumatoid arthritis",55
"Cardiac and Vasculature: Paroxysmal A-fib",55
"Gout",55
"Aortic stenosis",54
"Longstanding persistent atrial fibrillation",54
"Nonrheumatic tricuspid valve regurgitation",54
"Hypotension",54
"Mitral valve regurgitation",54
"Symptoms and Signs: Other fatigue",54
"Hypertensive heart disease with heart failure",54
"Genitourinary and Reproductive: Hypomagnesemia",54
"Musculoskeletal and Injuries: Primary osteoarthritis of right knee",54
"Type 2 diabetes mellitus without complications",53
"Back pain",53
"Gastrointestinal and Abdominal: GI bleed",53
"not elsewhere classified",53
"Neuro: Lumbar radiculopathy",52
"Symptoms and Signs: Near syncope",52
"Other: On deep vein thrombosis (DVT) prophylaxis",52
"Difficulty reading due to visual problem",51
"Hematuria",50
"Endocrine and Metabolic: Hypothyroid",50
"Chronic kidney disease",49
"STEMI (ST elevation myocardial infarction)",49
"Chronic combined systolic and diastolic congestive heart failure",49
"unspecified (CMS-hcc)",49
"Encounter for preprocedural cardiovascular examination",49
"Musculoskeletal and Injuries: Low back pain",49
"Genitourinary and Reproductive: Erectile dysfunction",49
"Primary osteoarthritis of both knees",48
"Genitourinary and Reproductive: Stage 3b chronic kidney disease (CMS-HCC)",48
"MVP (mitral valve prolapse)",48
"Cardiac and Vasculature: Bradycardia",48
"Coronary artery disease involving autologous vein coronary bypass graft without angina pectoris",48
"Musculoskeletal and Injuries: Back pain",48
"ASHD (arteriosclerotic heart disease)",48
"Cardiac and Vasculature: Abnormal EKG",48
"Cardiac and Vasculature: Venous insufficiency",48
"Neuro: Stroke (cerebrum)",48
"Abdominal pain",47
"Constipation",47
"Arrhythmia",47
"Skin: Psoriasis",47
"acute",47
"Depressive disorder",47
"Family history of cardiac disorder",47
"Ventricular tachycardia",47
"Disorder of thyroid",47
"Stage 3 chronic kidney disease (CMS-HCC)",46
"Ventricular premature depolarization",46
"Venous insufficiency (chronic) (peripheral)",46
"lumbar",46
"Cardiac and Vasculature: Benign essential hypertension",46
"Cardiac and Vasculature: SVT (supraventricular tachycardia) (HHS-HCC)",46
"B12 deficiency",45
"Irritable bowel syndrome",45
"Mental Health: Mood disorder",45
"Neuro: Migraine",45
"Peripheral vascular disease",45
"Musculoskeletal and Injuries: Fibromyalgia",45
"AV block",45
"Family history of premature CAD",45
"Congestive heart failure",45
"ENT: Seasonal allergies",45
"Arthritis of knee",45
"stopped smoking in distant past",45
"Endocrine and Metabolic: Type 2 diabetes mellitus with hyperglycemia",45
"Presence of prosthetic heart valve",45
"Neck pain",44
"Chronic low back pain",44
"Gastrointestinal and Abdominal: Colon cancer screening",44
"Musculoskeletal and Injuries: Primary osteoarthritis of left knee",44
"Fibromyalgia",44
"Presbyopia",44
"Hemorrhoids",44
"Morbid (severe) obesity due to excess calories (CMS-HCC)",44
"CHF (congestive heart failure)",44
"Erectile dysfunction",43
"Aortic valve stenosis",43
"Type 2 diabetes mellitus with hyperglycemia",43
"Hyperlipemia",43
"Complete heart block",43
"Leukocytosis",43
"1st degree AV block",43
"Osteoarthritis of knee",43
"VT (ventricular tachycardia)",43
"Advance Directives and Health Issues: Need for case management follow-up",42
"Atherosclerosis of coronary artery without angina pectoris",42
"Genitourinary and Reproductive: Hematuria",42
"Musculoskeletal and Injuries: Primary osteoarthritis involving multiple joints",42
"Symptoms and Signs: Impaired mobility",42
"Presence of cardiac pacemaker",42
"Pulmonary and Pneumonias: Pulmonary HTN",42
"min (CMS-HCC)",42
"chronic",42
"ENT: Bilateral hearing loss",42
"Neuro: DDD (degenerative disc disease)",41
"Combined systolic and diastolic heart failure",41
"Cardiac and Vasculature: Persistent atrial fibrillation",41
"Diverticulosis",41
"Gastrointestinal and Abdominal: Abdominal pain",41
"Cardiac and Vasculature: PAD (peripheral artery disease) (CMS-hcc)",41
"Symptoms and Signs: Atypical chest pain",41
"Aortic valve insufficiency",41
"type II",41
"Allergic rhinitis",41
"Coronary artery disease involving native heart without angina pectoris",40
"Hematology and Neoplasia: Acute blood loss anemia",40
"Sleep: Primary insomnia",40
"HFrEF (heart failure with reduced ejection fraction)",40
"Musculoskeletal and Injuries: Arthritis of knee",40
"Hyperkalemia",40
"estrogen receptor positive",40
"Sleep: Snoring",40
"Atherosclerosis of CABG w",40
"Musculoskeletal and Injuries: Chronic low back pain",40
"BPH (benign prostatic hyperplasia)",40
"Endocrine and Metabolic: Obesity (BMI 30-39.9)",40
"Peripheral venous insufficiency",39
"Cardiac and Vasculature: Permanent atrial fibrillation",39
"Eye: Cataract",39
"Cardiac and Vasculature: Dilated cardiomyopathy",39
"Bilateral carotid bruits",39
"Gross hematuria",39
"FHx: heart disease",39
"cervical",38
"Other: Aneurysm of aortic arch without rupture (CMS-hcc)",38
"Old myocardial infarction",38
"Coronary artery disease",38
"acquired",38
"min",38
"NSVT (nonsustained ventricular tachycardia)",38
"Neuro: Carpal tunnel syndrome",38
"Skin: Onychomycosis",38
"ENT: Seasonal allergic rhinitis",37
"Infectious Disease: Cellulitis",37
"Tricuspid valve insufficiency",37
"Left bundle branch block (LBBB)",37
"Spinal stenosis",37
"Age-related osteoporosis without current pathological fracture",37
"Myopia of both eyes with astigmatism and presbyopia",37
"Neuro: Dementia (CMS-HCC)",37
"Impaired contrast sensitivity",37
"Syncope and collapse",37
"Atrial fibrillation with RVR",37
"Sinus tachycardia",37
"Mitral valve disorder",37
"Vertigo",37
"LVH (left ventricular hypertrophy)",37
"Cardiac and Vasculature: Coronary artery disease involving autologous vein coronary bypass graft without angina pectoris",37
"lower urinary tract symptoms",36
"Bicuspid aortic valve (HHS-HCC)",36
"Chronic diastolic congestive heart failure",36
"Primary osteoarthritis of right hip",36
"non-rheumatic",36
"Hx of CABG",36
"Cough",36
"Polyp of colon",36
"Hematology and Neoplasia: Acute postoperative anemia due to expected blood loss",36
"Diverticulitis",36
"Pulmonary and Pneumonias: Hypoxia",36
"Pleural effusion",36
"Genitourinary and Reproductive: Stage 2 chronic kidney disease",36
"Non-ischemic cardiomyopathy",36
"severe",36
"P total knee arthroplasty",36
"Mitral insufficiency",36
"closed",35
"PAF (paroxysmal atrial fibrillation)",35
"subsequent encounter",35
"Mental Health: Anxiety and depression",35
"Heart failure",35
"Cardiac and Vasculature: Ischemic cardiomyopathy",35
"Migraine",35
"Pseudophakia",34
"P drug eluting coronary stent placement",34
"Obesity (BMI 30-39.9)",34
"Neuro: Spinal stenosis",34
"Neuro: Tremor",34
"Gastrointestinal and Abdominal: Constipation",34
"Neuro: CVA (cerebral vascular accident)",34
"Cardiac and Vasculature: Palpitation",34
"Coag and Thromboembolic: Senile purpura",34
"Cardiac and Vasculature: Atherosclerosis of native coronary artery without angina pectoris",34
"Aortic root dilation (CMS-hcc)",34
"Genitourinary and Reproductive: Benign prostatic hyperplasia with lower urinary tract symptoms",33
"Genitourinary and Reproductive: Benign prostatic hyperplasia without lower urinary tract symptoms",33
"GI bleed",33
"Musculoskeletal and Injuries: Primary osteoarthritis of both knees",33
"Peripheral arterial disease (CMS-hcc)",33
"Cardiac and Vasculature: Nonrheumatic aortic valve stenosis",33
"Allergies and Adverse Reactions: Multiple allergies",33
"Family History: Blood tests prior to treatment or procedure",33
"P AVR (aortic valve replacement)",33
"Symptoms and Signs: Lightheadedness",33
"Urinary incontinence",33
"not intractable",33
"ENT: Epistaxis",33
"sequela",32
"Nephrolithiasis",32
"Cervical radiculopathy",32
"Cardiac and Vasculature: Family history of ischemic heart disease",32
"Endocrine and Metabolic: Exercise counseling",32
"Endocrine and Metabolic: Thyroid nodule",32
"Cardiac and Vasculature: Sick sinus syndrome",32
"Aortic valve disease",32
"Degeneration of lumbar intervertebral disc",32
"Osteoarthritis of right knee",32
"Genitourinary and Reproductive: Kidney stone",32
"Tobacco: Tobacco use disorder",32
"Rheumatoid arthritis",32
"Benign hypertension",32
"Coronary atherosclerosis of autologous vein bypass graft without angina",31
"Diverticulosis of large intestine without perforation or abscess without bleeding",31
"Pseudophakia of both eyes",31
"Symptoms and Signs: Debility",31
"Neuro: Chronic pain",31
"Hypermetropia",31
"Hematology and Neoplasia: History of prostate cancer",31
"Varicose veins of both lower extremities",31
"Symptoms and Signs: Repeated falls",31
"Cardiac and Vasculature: Abnormal stress test",31
"Benign essential HTN",31
"Other hyperlipidemia",31
"uncomplicated",31
"Pulmonary and Pneumonias: Cough",31
"Supraventricular tachycardia (HHS-HCC)",31
"Lumbar spondylosis",30
"Advance Directives and Health Issues: Palliative care encounter",30
"UTI (urinary tract infection)",30
"Typical atrial flutter",30
"Cardiac and Vasculature: Atherosclerosis of coronary artery bypass graft of native heart without angina pectoris",30
"Sleep: Other sleep apnea",30
"P TAVR (transcatheter aortic valve replacement)",30
"Neuro: Bilateral carpal tunnel syndrome",30
"Skin: Eczema",30
"Acute blood loss anemia",30
"Mental Health: Anxiety disorder",30
"Neuro: Cerebrovascular accident (CVA)",30
"Lung nodule",29
"Cardiac and Vasculature: PVC (premature ventricular contraction)",29
"SOB (shortness of breath)",29
"Genitourinary and Reproductive: S",29
"P coronary artery stent placement",29
"Epigastric pain",29
"Neuro: Lumbar stenosis with neurogenic claudication",29
"Atherosclerotic heart disease",29
"Tobacco: Cigarette smoker",29
"DVT (deep venous thrombosis)",29
"Prostate cancer",29
"Pulmonary HTN",29
"Aortic insufficiency",29
"Pacemaker",29
"Hematology and Neoplasia: Breast cancer",29
"Stenosis of carotid artery",29
"Pulmonary and Pneumonias: Chronic cough",29
"FH: heart disease",29
"Genitourinary and Reproductive: Hyperkalemia",29
"Dysphagia",29
"Other: Aneurysm of ascending aorta without rupture (CMS-hcc)",28
"Other fatigue",28
"Thoracic aortic aneurysm without rupture",28
"Angina pectoris",28
"Abnormal urinalysis",28
"DDD (degenerative disc disease)",28
"unspecified osteoarthritis type",28
"Coag and Thromboembolic: History of pulmonary embolism",28
"Myocardial infarction",28
"Presence of Watchman left atrial appendage closure device",28
"Pulmonary nodule",28
"Old MI (myocardial infarction)",28
"GFR 30-59 ml",28
"Coronary artery disease involving native coronary artery of native heart",28
"Insomnia",28
"Musculoskeletal and Injuries: Chronic back pain",28
"OSA (obstructive sleep apnea)",28
"Hyperparathyroidism (HHS-HCC)",28
"Neuro: Chronic pain syndrome",28
"Musculoskeletal and Injuries: Age-related osteoporosis without current pathological fracture",28
"Heart murmur",28
"Endocrine and Metabolic: Type 2 diabetes mellitus with diabetic polyneuropathy",27
"lumbosacral",27
"Chronic pain syndrome",27
"Family History: Encounter for geriatric assessment",27
"Genitourinary and Reproductive: Benign non-nodular prostatic hyperplasia without lower urinary tract symptoms",27
"Multi System Lupus Sarcoid: Polymyalgia rheumatica (HHS-HCC)",27
"Cerebrovascular accident (CVA)",27
"Atherosclerosis of native coronary artery of native heart",27
"Neuro: Spinal stenosis of lumbar region",27
"History of CVA (cerebrovascular accident)",27
"counseling",27
"discussion",27
"OAB (overactive bladder)",27
"Morbid obesity due to excess calories (CMS-HCC)",27
"Gastrointestinal and Abdominal: Diverticulitis",27
"Elevated blood pressure reading without diagnosis of hypertension",27
"Cardiac and Vasculature: Pure hypercholesterolemia",27
"Abdominal aortic aneurysm (AAA) without rupture",27
"Pulmonary and Pneumonias: Lung nodule",27
"Systolic heart failure",27
"Nonrheumatic tricuspid (valve) insufficiency",27
"Chronic bilateral low back pain without sciatica",26
"Abdominal aortic aneurysm without rupture",26
"Endocrine and Metabolic: Pre-diabetes",26
"Hematology and Neoplasia: Iron deficiency",26
"Posterior vitreous detachment",26
"Dry eye syndrome",26
"Tobacco: Nicotine dependence",26
"Cardiac and Vasculature: Abnormal electrocardiogram",26
"Cardiac and Vasculature: Longstanding persistent atrial fibrillation",26
"Gastrointestinal and Abdominal: Hiatal hernia",26
"ENT: Sensorineural hearing loss (SNHL) of both ears",26
"ICD (implantable cardioverter-defibrillator) in place",26
"Plantar fasciitis",26
"Musculoskeletal and Injuries: S",26
"Chronic back pain",26
"Neuro: Cervical radiculopathy",26
"Kidney stone",26
"Benign prostatic hyperplasia",26
"Hypocalcemia",26
"Lumbar stenosis with neurogenic claudication",26
"Elevated PSA",26
"Atherosclerosis of native coronary artery of native heart with angina pectoris (CMS-hcc)",26
"Advance Directives and Health Issues: History of falling",26
"High blood pressure",26
"Diarrhea",26
"Mental Health: Alcohol abuse",26
"GAD (generalized anxiety disorder)",26
"Cardiac and Vasculature: Coronary artery disease",25
"Posterior vitreous detachment of both eyes",25
"Mood disorder",25
"Gastrointestinal and Abdominal: Gastro-esophageal reflux",25
"Hematology and Neoplasia: Prostate CA",25
"Hematochezia",25
"COPD exacerbation",25
"Endocrine and Metabolic: Thyroid disease",25
"Genitourinary and Reproductive: Hypercalcemia",25
"Abnormal echocardiogram",25
"History of colon polyps",25
"Neuro: Parkinson disease",25
"Atrial premature depolarization",25
"Genitourinary and Reproductive: Gross hematuria",25
"Coag and Thromboembolic: History of DVT (deep vein thrombosis)",25
"Tubular adenoma of colon",25
"Endocrine and Metabolic: Other specified hypothyroidism",25
"Iron deficiency anemia due to chronic blood loss",25
"Heart block",25
"Symptoms and Signs: Light-headedness",25
"Stage 2 chronic kidney disease",25
"Vasovagal syncope",24
"Gastrointestinal and Abdominal: Barrett's esophagus",24
"COVID-19",24
"2025",24
"Cardiac and Vasculature: Nonrheumatic mitral valve regurgitation",24
"Other: Other supraventricular tachycardia (HHS-HCC)",24
"Aortic valve regurgitation",24
"Sleep: Obstructive sleep apnea of adult",24
"Solitary pulmonary nodule",24
"Pulmonary embolism",24
"Hypothyroid",24
"Sleep: Sleep apnea in adult",24
"Hyperthyroidism",24
"Other: Diabetes mellitus without mention of complication",24
"Generalized osteoarthritis",24
"Family History: Preop testing",24
"GFR 60-89 ml",24
"Obesity (BMI 30.0-34.9)",24
"Genitourinary and Reproductive: Nocturia",24
"Gastro-esophageal reflux disease with esophagitis",24
"Osteoarthritis of left knee",24
"Cardiac arrhythmia",24
"moderate",24
"Genitourinary and Reproductive: Nephrolithiasis",23
"Hypoxia",23
"Dementia (CMS-HCC)",23
"PAC (premature atrial contraction)",23
"Benign hypertensive heart disease without heart failure",23
"Gastrointestinal and Abdominal: Dysphagia",23
"Chronic fatigue",23
"Gastrointestinal and Abdominal: Irritable bowel syndrome",23
"Slow transit constipation",23
"Neuro: Headache",23
"Heart disease",23
"Endocrine and Metabolic: Glucose intolerance (impaired glucose tolerance)",23
"Overactive bladder",23
"Chronic pain",23
"ENT: Acute sinusitis",23
"Dysuria",23
"Genitourinary and Reproductive: Stage 4 chronic kidney disease",23
"Family history of early CAD",23
"Near syncope",23
"Hematology and Neoplasia: Lung cancer",23
"Nausea",23
"P CABG x 3",23
"Regular astigmatism",23
"Allergies and Adverse Reactions: Statin intolerance",23
"Hematology and Neoplasia: Family history of colon cancer",23
"Hypercalcemia",23
"psychotic disturbance",23
"mood disturbance",23
"Sciatica",22
"CAD in native artery",22
"Cardiac and Vasculature: Chronic atrial fibrillation",22
"Uncontrolled type 2 diabetes mellitus with hyperglycemia",22
"Cardiac and Vasculature: Coronary atherosclerosis",22
"Glaucoma suspect of both eyes",22
"Chronic systolic congestive heart failure",22
"First degree hemorrhoids",22
"Gastrointestinal and Abdominal: Colitis",22
"Cardiomegaly",22
"Barrett's esophagus",22
"Sensorineural hearing loss (SNHL) of both ears",22
"Stage 4 chronic kidney disease",22
"Intermittent claudication (CMS-hcc)",22
"Claudication in peripheral vascular disease (CMS-hcc)",22
"Cardiac and Vasculature: Atrial flutter",22
"Genitourinary and Reproductive: Overactive bladder",22
"Lymphedema",22
"Stroke-like symptoms",22
"Neuro: Diabetic peripheral neuropathy",22
"Bilateral carpal tunnel syndrome",22
"recurrent",22
"Mental Health: GAD (generalized anxiety disorder)",22
"Pre-diabetes",22
"or anxiety (CMS-HCC)",22
"Atrial tachycardia (HHS-HCC)",22
"Neuro: Diabetic polyneuropathy associated with type 2 diabetes mellitus",22
"Neuro: Acute post-operative pain",22
"Seizure disorder",22
"Eye: Glaucoma suspect of both eyes",21
"Hematology and Neoplasia: Iron deficiency anemia due to chronic blood loss",21
"Cardiac and Vasculature: PVC's (premature ventricular contractions)",21
"History of adenomatous polyp of colon",21
"Thrombocytopenia",21
"Eye: Macular degeneration",21
"Cervicalgia",21
"Arthritis of right hip",21
"PVCs (premature ventricular contractions)",21
"History of pulmonary embolism",21
"Seizure",21
"Neuro: Parkinson's disease",21
"Atrial fibrillation with rapid ventricular response",21
"Glaucoma",21
"Genitourinary and Reproductive: OAB (overactive bladder)",21
