token,matched_cause,icd_code,match_method,method,notes
2019,,,none,,
2019 (CMV D-,,,none,,
2019MRI- refuses any more,,,none,,
2020,,,none,,
2020 descending colon,,,none,,
2020 IVUS guided PTCA,,,none,,
2020 LAD stent patent 20% distal stenosis,,,none,,
2020 mild to moderate CAD,,,none,,
2020 patent mid to distal RCA stents,,,none,,
2020 proximal to mid LAD using a 4.0 x 16 mm synergy,,,none,,
2020),,,none,,
2020] and RCA [3,,,none,,
2021,,,none,,
2022,,,none,,
2022  LVEF=45%-50% + ischemic- MRI 10,,,none,,
2022- atorvastatin,,,none,,
2022],,,none,,
2023,,,none,,
2023 lvef=28%,,,none,,
2023 normal coronary arteries,,,none,,
2023 patent LIMA to LAD,,,none,,
2024,,,none,,
2024 4.1 cm,,,none,,
2024 and 12,,,none,,
2024 normal coronary arteries,,,none,,
2024 patent LIMA to LAD & chronically occluded SVG to OM1,,,none,,
2024),,,none,,
2024) and LAD (11,,,none,,
2025,,,none,,
2025 9.9,,,none,,
2025 a1c=5.8,,,none,,
2025 ef=43% MRA,,,none,,
2025 lvef=32%,,,none,,
2025 LVef=35-40%,,,none,,
2025 peripheral interventional revascularization of the ostial right brachiocephalic artery and right subclavian artery.stented with 8 x 27 express LD,,,none,,
2025 single-chamber Medtronic.  Chronotropic incompetence.,,,none,,
2025 with Known RCA CTO and LCX,,,none,,
2025),,,none,,
2025) and unsynchronized cardioversion @ 200J (1,,,none,,
2025)),,,none,,
2026,,,none,,
2026 by Dr. Alnajjar,,,none,,
21,,,none,,
21 2.25 x 12 mm synergy,,,none,,
21 mid LAD with 2 nonoverlapping synergy  measuring 3.0 x 28 mm and 3.0 x 16 mm,,,none,,
21 TEE =6.8cm,,,none,,
21mm tissue valve,,,none,,
22,,,none,,
23,,,none,,
23 Cerebrovascular accident (CVA) due to embolism of left posterior cerebral artery (CMS-hcc) right upper quadrant cut,Cerebrovascular Accident,I63,cause_name,,
23 IFR mid LAD measured 0.87 therefore PCI of the mid LAD using a 2.5 x 28 mm synergy,,,none,,
23 lvef=25-30% 8,,,none,,
24,,,none,,
24 mild CAD,,,none,,
24. repeat in 3 years.,,,none,,
25,,,none,,
25 Boston scientific dual chamber,,,none,,
25 normal coronary arteries,,,none,,
26,,,none,,
27,,,none,,
28,,,none,,
29,,,none,,
29 mm tissue valve,,,none,,
2:1 AV block,,,none,,
2nd degree,,,none,,
2nd degree AV block,,,none,,
2nd January,,,none,,
3,,,none,,
3-6 months since previous exam,,,none,,
3-vessel CAD,,,none,,
3-vessel coronary artery disease,Coronary Artery Disease,I25,cause_name,,
3.1cm in 2019,,,none,,
3.8 cm,,,none,,
30,,,none,,
31,,,none,,
31 mm Mitris Valve,,,none,,
3910 RESULTS 8,,,none,,
3rd degree,,,none,,
4,,,none,,
4 grafts 2011,,,none,,
4 x 4cm,,,none,,
4-4-15,,,none,,
4.1,,,none,,
4.2cm 2018,,,none,,
400,,,none,,
41-49%),,,none,,
4731,,,none,,
4mm intracranial left internal carotid artery,,,none,,
5,,,none,,
50% lad,,,none,,
520,,,none,,
6,,,none,,
60% distal LCX s,,,none,,
7,,,none,,
7-21-14,,,none,,
8,,,none,,
8 mm irregular shaped nodule in the right upper lobe 11,,,none,,
8-1-11,,,none,,
80,,,none,,
80% pLCx S,,,none,,
9,,,none,,
90,,,none,,
<100,,,none,,
<= ...,,,none,,
<= 40%),,,none,,
<= 40%) and combined systolic and diastolic dysfunction,,,none,,
> 3mm and < 8mm,,,none,,
> 3mm and < 8mm. NEEDS REPEAT CT SCAN 8,,,none,,
> 99% for age,,,none,,
>400,,,none,,
>= 50%),,,none,,
A Chest),,,none,,
a),,,none,,
a)transvaginal tape urethropexy,,,none,,
A-fib,,,none,,
A-fib RVR status post Watchman procedure,,,none,,
A-fib with RVR,,,none,,
A-V fistula,,,none,,
A...,,,none,,
A1,,,none,,
A2,,,none,,
A3,,,none,,
AAA (abdominal aortic aneurysm),,,none,,
AAA (abdominal aortic aneurysm) without rupture,,,none,,
AAA (abdominal aortic aneurysm) without rupture (CMS-hcc),,,none,,
AAA (abdominal aortic aneurysm)- s,,,none,,
Ab...,,,none,,
abdominal,,,none,,
abdominal (CMS-hcc),,,none,,
Abdominal aneurysm,,,none,,
Abdominal aortic aneurysm,,,none,,
Abdominal aortic aneurysm (AAA),,,none,,
Abdominal aortic aneurysm (AAA) 3.0 cm to 5.0 cm in diameter in female,,,none,,
Abdominal aortic aneurysm (AAA) without rupture,,,none,,
Abdominal aortic aneurysm (AAA) without rupture - Infrarenal ectasia (2.6 × 2.8 cm) with saccular outpouching (3.2 cm × 0.9 cm) on the left lateral wall.,,,none,,
Abdominal aortic aneurysm (AAA) without rupture - repaired 2023,,,none,,
Abdominal aortic aneurysm (AAA) without rupture- s,,,none,,
Abdominal aortic aneurysm without rupture,,,none,,
Abdominal aortic aneurysm without rupture - s,,,none,,
Abdominal aortic atherosclerosis (CMS-hcc),,,none,,
Abdominal aortic atherosclerosis (CMS-hcc)-CT,,,none,,
Abdominal aortic ectasia (CMS-hcc),,,none,,
Abdominal aortic stenosis (HHS-HCC),,,none,,
Abdominal bloating,,,none,,
Abdominal bruit,,,none,,
Abdominal cramping,,,none,,
Abdominal cramps,,,none,,
Abdominal discomfort,,,none,,
Abdominal distension,,,none,,
Abdominal distension (gaseous),,,none,,
Abdominal distention,,,none,,
Abdominal fluid collection,,,none,,
Abdominal mass,,,none,,
Abdominal obesity and metabolic syndrome,Obesity,E66,cause_name,,
Abdominal pain,,,none,,
Abdominal spasms,,,none,,
Abdominal swelling,,,none,,
Abdominal wall abscess,,,none,,
Abdominal wall abscess at site of surgical wound,,,none,,
Abdominal wall cellulitis,,,none,,
Abdominal wall hematoma,,,none,,
Abdominal wall hernia,,,none,,
Abdominal wall mass of right lower quadrant,,,none,,
Abdominal wall pain,,,none,,
Abdominal wall seroma,,,none,,
ABLA (acute blood loss anemia),,,none,,
abnormal,,,none,,
Abnormal abdominal CT scan,,,none,,
Abnormal ankle brachial index,,,none,,
Abnormal auditory perception,,,none,,
Abnormal bilirubin test,,,none,,
Abnormal blood chemistry level,,,none,,
Abnormal blood level of lithium,,,none,,
Abnormal bowel habits,,,none,,
Abnormal cardiac enzyme level,,,none,,
Abnormal cardiac function test,,,none,,
Abnormal cardiovascular stress test,,,none,,
Abnormal carotid duplex scan,,,none,,
Abnormal cervix finding,,,none,,
Abnormal chest CT,,,none,,
Abnormal chest x-ray,,,none,,
Abnormal coagulation profile,,,none,,
Abnormal computed tomography angiography (CTA) of abdomen and pelvis,,,none,,
Abnormal CT lung screening,,,none,,
Abnormal CT of brain,,,none,,
Abnormal CT of the abdomen,,,none,,
Abnormal CT of the chest,,,none,,
Abnormal CT scan,,,none,,
Abnormal CXR,,,none,,
Abnormal ECG,,,none,,
Abnormal ECG during exercise stress test,,,none,,
Abnormal echocardiogram,,,none,,
Abnormal EKG,,,none,,
Abnormal electrocardiogram,Arrhythmia,I49,none,llm,indicator of possible arrhythmia
Abnormal electrocardiogram (ECG) (EKG),,,none,,
Abnormal electrocardiogram ivcd,,,none,,
Abnormal finding of diagnostic imaging,,,none,,
Abnormal finding on cardiovascular stress test,,,none,,
Abnormal finding on CT scan,,,none,,
Abnormal finding on GI tract imaging,,,none,,
Abnormal finding on imaging,,,none,,
Abnormal finding on imaging of liver,,,none,,
Abnormal findings on diagnostic imaging of abdomen,,,none,,
Abnormal findings on diagnostic imaging of heart,,,none,,
Abnormal findings on diagnostic imaging of liver,,,none,,
Abnormal findings on imaging test,,,none,,
Abnormal gait,,,none,,
Abnormal glucose level,,,none,,
Abnormal head CT,,,none,,
Abnormal heart rhythm,,,none,,
Abnormal heart sounds,,,none,,
Abnormal Holter monitor finding,,,none,,
Abnormal involuntary movement,,,none,,
Abnormal LFTs,,,none,,
Abnormal liver enzymes,,,none,,
Abnormal liver function test,,,none,,
Abnormal liver function tests,,,none,,
Abnormal magnetic resonance cholangiopancreatography (MRCP),,,none,,
Abnormal mammogram,,,none,,
Abnormal mammogram of right breast,,,none,,
Abnormal movements,,,none,,
Abnormal MPI,,,none,,
Abnormal MRI,,,none,,
Abnormal MRI of abdomen,,,none,,
Abnormal MRI of head,,,none,,
Abnormal myocardial perfusion study,,,none,,
Abnormal nuclear cardiac imaging test,,,none,,
Abnormal nuclear stress test,,,none,,
Abnormal Pap smear of cervix,,,none,,
Abnormal Papanicolaou smear of vagina,,,none,,
Abnormal prostate on physical examination,,,none,,
Abnormal PSA,,,none,,
Abnormal rate of speech,,,none,,
Abnormal renal function,,,none,,
Abnormal renal ultrasound,,,none,,
Abnormal screening cardiac CT,,,none,,
Abnormal serum thyroid stimulating hormone (TSH) level,,,none,,
Abnormal skin growth,,,none,,
Abnormal SPEP,,,none,,
Abnormal stress ECG,,,none,,
Abnormal stress ECG with treadmill,,,none,,
Abnormal stress echo,,,none,,
Abnormal stress echocardiogram,,,none,,
Abnormal stress electrocardiogram test,,,none,,
Abnormal stress electrocardiogram test using treadmill,,,none,,
Abnormal stress test,,,none,,
Abnormal thyroid stimulating hormone (TSH) level,,,none,,
Abnormal TSH,,,none,,
Abnormal urinalysis,,,none,,
Abnormal urine,,,none,,
Abnormal uterine bleeding,,,none,,
Abnormal vaginal bleeding in postmenopausal patient,,,none,,
Abnormal weight loss,,,none,,
Abnormality detected on rectal examination of prostate,,,none,,
Abnormality of gait due to impairment of balance,,,none,,
Abnormality of gait following cerebrovascular accident (CVA),Cerebrovascular Accident,I63,cause_name,,
Abnormality of heart beat,,,none,,
Abnormality of left atrial appendage (HHS-HCC),,,none,,
Abnormality of thoracic aorta (HHS-HCC),,,none,,
Abnormally low high density lipoprotein (HDL) cholesterol with hypertriglyceridemia,,,none,,
ABORTED,,,none,,
Abrasion of chin,,,none,,
Abrasion of face,,,none,,
abscess,,,none,,
Abscess of abdominal cavity,,,none,,
Abscess of anal and rectal regions,,,none,,
Abscess of bursa of left elbow,,,none,,
Abscess of left arm,,,none,,
Abscess of left foot,,,none,,
Abscess of leg,,,none,,
Abscess of nipple,,,none,,
Abscess of sigmoid colon,,,none,,
Absence of bladder continence,,,none,,
Absolute anemia,,,none,,
AC (acromioclavicular) joint arthritis,,,none,,
AC (acromioclavicular) joint bone spurs,,,none,,
AC separation,,,none,,
Ac...,,,none,,
accelerated,,,none,,
Accelerated atrioventricular junctional rhythm,,,none,,
Accelerated hypertension,,,none,,
Accelerated junctional rhythm,,,none,,
accidental or unintentional,,,none,,
ACE inhibitor intolerance,,,none,,
ACE-inhibitor cough,,,none,,
ACEI,,,none,,
Achalasia,,,none,,
Achalasia of esophagus,,,none,,
Achilles,,,none,,
Achilles tendinitis,,,none,,
Achilles tendinitis of right lower extremity,,,none,,
Achilles tendinosis of right lower extremity,,,none,,
Achilles tendon contracture,,,none,,
Acid reflux,,,none,,
Acid reflux disease,,,none,,
Acidosis,,,none,,
ACL (anterior cruciate ligament) tear,,,none,,
ACL tear,,,none,,
acne,,,none,,
Acne rosacea,,,none,,
acquired,,,none,,
acquired (HHS-HCC),,,none,,
Acquired abduction deformity of right foot,,,none,,
Acquired absence of both cervix and uterus,,,none,,
Acquired absence of kidney,,,none,,
Acquired absence of left leg below knee,,,none,,
Acquired absence of right great toe (HHS-HCC),,,none,,
Acquired anal stenosis,,,none,,
Acquired asymmetry of prostate,,,none,,
Acquired bilateral flat feet,,,none,,
Acquired bilateral foot drop,,,none,,
Acquired bilateral hammer toes,,,none,,
Acquired bronchoesophageal fistula,,,none,,
Acquired buried penis,,,none,,
Acquired cyst of kidney,,,none,,
Acquired dilation of ascending aorta and aortic root,,,none,,
Acquired equinus deformity of left foot,,,none,,
Acquired equinus deformity of right foot,,,none,,
Acquired hallux limitus of left foot,,,none,,
Acquired hallux rigidus,,,none,,
Acquired hallux valgus,,,none,,
Acquired hallux valgus of left foot,,,none,,
Acquired hallux valgus of right foot,,,none,,
Acquired hammer toe of left foot,,,none,,
Acquired hammer toe of right foot,,,none,,
Acquired hydronephrosis due to obstruction of ureteropelvic junction (UPJ),,,none,,
Acquired hypercoagulable state (CMS-hcc),,,none,,
Acquired hypercoagulable state (HHS-HCC),,,none,,
Acquired hypothyroidism,,,none,,
Acquired involutional ptosis of both eyelids,,,none,,
Acquired keratoderma,,,none,,
Acquired lymphedema of lower extremity,,,none,,
Acquired pancytopenia (CMS-HCC),,,none,,
Acquired pes planus,,,none,,
Acquired pes planus of right foot,,,none,,
Acquired ptosis of eyelid of both eyes,,,none,,
Acquired ptosis of right eyelid,,,none,,
Acquired renal cyst of left kidney,,,none,,
Acquired right foot drop,,,none,,
Acquired scoliosis,,,none,,
Acquired solitary kidney,,,none,,
Acquired spondylolisthesis,,,none,,
Acquired spondylolisthesis of cervical vertebra,,,none,,
Acquired trigger finger,,,none,,
Acquired trigger finger of both middle fingers,,,none,,
Acquired trigger finger of both ring fingers,,,none,,
Acquired trigger finger of right index finger,,,none,,
Acquired trigger finger of right middle finger,,,none,,
Acquired valgus deformity knee,,,none,,
Acquired valgus deformity of knee,,,none,,
acquired with hemorrhage,,,none,,
Acromegaly,,,none,,
Acromioclavicular joint arthritis,,,none,,
Acromioclavicular joint arthritis right shoulder,,,none,,
ACS (acute coronary syndrome),,,none,,
Actinic keratoses,,,none,,
Actinic keratosis of left cheek,,,none,,
active medical management without dialysis,,,none,,
acute,,,none,,
acute (CMS-HCC),,,none,,
acute (HHS-HCC),,,none,,
Acute abdominal complaint,,,none,,
Acute abdominal pain,,,none,,
Acute acalculous cholecystitis,,,none,,
Acute anemia,,,none,,
Acute anterior circulation TIA,,,none,,
Acute anxiety,,,none,,
Acute appendicitis,,,none,,
Acute appendicitis with localized peritonitis,,,none,,
Acute appendicitis with perforation and localized peritonitis,,,none,,
Acute asthma exacerbation (HHS-HCC),Asthma,J45.2,cause_name,,
Acute back pain,,,none,,
Acute back pain with radiculopathy,,,none,,
Acute back pain with sciatica,,,none,,
Acute bacterial endocarditis (HHS-HCC),,,none,,
Acute bilateral deep vein thrombosis (DVT) of iliac veins of lower extremities,,,none,,
Acute bilateral low back pain,,,none,,
Acute bilateral low back pain with left-sided sciatica,,,none,,
Acute bilateral low back pain with right-sided sciatica,,,none,,
Acute bilateral low back pain without sciatica,,,none,,
Acute bilateral lower abdominal pain,,,none,,
Acute bilateral thoracic back pain,,,none,,
Acute biliary pancreatitis (HHS-HCC),,,none,,
Acute biliary pancreatitis without infection or necrosis (HHS-HCC),,,none,,
Acute blood loss anemia,,,none,,
Acute blood loss as cause of postoperative anemia,,,none,,
Acute bronchitis,,,none,,
Acute bronchitis due to other specified organisms,,,none,,
Acute bronchitis with asthma with acute exacerbation (HHS-HCC),Asthma,J45.2,cause_name,,
Acute bronchitis with wheezing,,,none,,
Acute bronchospasm,,,none,,
Acute c...,,,none,,
Acute calculous cholecystitis,,,none,,
Acute cardiogenic pulmonary edema,,,none,,
Acute cellular rejection,,,none,,
Acute cerebral infarction,,,none,,
Acute cerebrovascular insufficiency,,,none,,
Acute chest pain,,,none,,
Acute chest wall pain,,,none,,
Acute CHF,,,none,,
Acute CHF (congestive heart failure),CHF (Congestive Heart Failure),I50,cause_name,,
Acute CHF exacerbation with preserved ejection fraction,,,none,,
Acute cholecystitis,,,none,,
Acute colitis,,,none,,
Acute combined systolic (congestive) and diastolic (congestive) heart failure,,,none,,
Acute combined systolic and diastolic CHF,,,none,,
Acute combined systolic and diastolic heart failure,,,none,,
Acute complicated cystitis 2,,,none,,
Acute confusion,,,none,,
Acute confusional state,,,none,,
Acute congestive heart failure,,,none,,
Acute coronary syndrome,,,none,,
Acute cough,,,none,,
Acute CVA (cerebrovascular accident),Cerebrovascular Accident,I63,cause_name,,
Acute cystitis,,,none,,
Acute cystitis with hematuria,,,none,,
Acute cystitis without hematuria,,,none,,
Acute decompensated heart failure,,,none,,
Acute decompensated heart failure with reduced ejection fraction (HFpEF),,,none,,
Acute deep vein thrombosis (DVT),,,none,,
Acute deep vein thrombosis (DVT) of calf muscle vein of left lower extremity,,,none,,
Acute deep vein thrombosis (DVT) of femoral vein of both lower extremities,,,none,,
Acute deep vein thrombosis (DVT) of femoral vein of left lower extremity,,,none,,
Acute deep vein thrombosis (DVT) of femoral vein of right lower extremity,,,none,,
Acute deep vein thrombosis (DVT) of iliac vein of right lower extremity,,,none,,
Acute deep vein thrombosis (DVT) of left femoral vein,,,none,,
Acute deep vein thrombosis (DVT) of left lower extremity,,,none,,
Acute deep vein thrombosis (DVT) of left peroneal vein,,,none,,
Acute deep vein thrombosis (DVT) of lower extremity,,,none,,
Acute deep vein thrombosis (DVT) of popliteal vein of left lower extremity,,,none,,
Acute deep vein thrombosis (DVT) of popliteal vein of right lower extremity,,,none,,
Acute deep vein thrombosis (DVT) of proximal end of left lower extremity,,,none,,
Acute deep vein thrombosis (DVT) of proximal vein of left lower extremity,,,none,,
Acute deep vein thrombosis (DVT) of right femoral vein,,,none,,
Acute deep vein thrombosis (DVT) of right lower extremity,,,none,,
Acute deep vein thrombosis (DVT) of right peroneal vein,,,none,,
Acute deep vein thrombosis (DVT) of tibial vein of right lower extremity,,,none,,
Acute deep venous thrombosis,,,none,,
Acute dehydration,,,none,,
Acute diarrhea,,,none,,
Acute diastolic (congestive) heart failure,,,none,,
Acute diastolic CHF (congestive heart failure),CHF (Congestive Heart Failure),I50,cause_name,,
Acute diastolic congestive heart failure,,,none,,
Acute diastolic heart failure,,,none,,
Acute diastolic heart failure with preserved ejection fraction,,,none,,
Acute diverticulitis,,,none,,
Acute drug-induced gout of left elbow,,,none,,
Acute duodenal ulcer with hemorrhage,,,none,,
Acute dyspnea,Dyspnea,R06.09,cause_name,,
Acute embolism and thrombosis of left femoral vein,,,none,,
Acute embolism and thrombosis of left popliteal vein,,,none,,
Acute embolism and thrombosis of right popliteal vein,,,none,,
Acute embolism and thrombosis of unspecified deep veins of unspecified lower extremity,,,none,,
Acute encephalopathy,,,none,,
Acute endocarditis (HHS-HCC),,,none,,
Acute erosive gastritis,,,none,,
acute exacerbation,,,none,,
Acute exacerbation of bronchiectasis,Bronchiectasis,J47.9,cause_name,,
Acute exacerbation of CHF (congestive heart failure),CHF (Congestive Heart Failure),I50,cause_name,,
Acute exacerbation of chronic obstructive pulmonary disease,,,none,,
Acute exacerbation of chronic obstructive pulmonary disease (COPD),COPD,J44.9,cause_name,,
Acute eye pain,,,none,,
Acute foot pain,,,none,,
Acute gallstone pancreatitis (HHS-HCC),,,none,,
Acute gastric ulcer,,,none,,
Acute gastric ulcer with hemorrhage,,,none,,
Acute gastric ulcer with perforation,,,none,,
Acute gastritis without hemorrhage,,,none,,
Acute gastroenteritis,,,none,,
Acute gastrointestinal bleeding secondary to Small Bowel AVMs,,,none,,
Acute gastrointestinal hemorrhage,,,none,,
Acute generalized abdominal pain,,,none,,
Acute GI bleed secondary to duodenal ulcer s,,,none,,
Acute GI bleeding,,,none,,
Acute gout,,,none,,
Acute gout due to renal impairment involving multiple sites,,,none,,
Acute gout of left ankle,,,none,,
Acute gout of left foot,,,none,,
Acute H...,,,none,,
Acute headache,,,none,,
Acute headache with left eye visual disturbance,,,none,,
Acute heart failure,,,none,,
Acute heart failure with preserved ejection fraction,,,none,,
Acute heart failure with preserved ejection fraction (HFpEF,,,none,,
Acute heart failure with preserved ejection fraction (HFpEF),,,none,,
Acute heart failure with reduced ejection fraction (HFrEF,,,none,,
Acute hematogenous osteomyelitis of right foot,,,none,,
Acute HFrEF (heart failure with reduced ejection fraction),,,none,,
Acute hip pain,,,none,,
Acute hyperkalemia,,,none,,
Acute hypokalemia,,,none,,
Acute Hypomagnesemia,,,none,,
Acute hyponatremia,,,none,,
Acute hypoxemic respiratory failure,Respiratory Failure,J96.1,cause_name,,
Acute hypoxia with concern for Aspiration pneumonitis,,,none,,
acute hypoxic respiratory distress,,,none,,
Acute hypoxic respiratory failure,Respiratory Failure,J96.1,cause_name,,
Acute idiopathic gout,,,none,,
Acute idiopathic gout involving toe of right foot,,,none,,
Acute idiopathic gout of left foot,,,none,,
Acute idiopathic gout of left shoulder,,,none,,
Acute idiopathic gout of multiple sites,,,none,,
Acute idiopathic gout of right elbow,,,none,,
Acute idiopathic gout of right foot,,,none,,
Acute infection of nasal sinus,,,none,,
Acute inferolateral myocardial infarction,,,none,,
Acute intractable headache,,,none,,
Acute ischemic colitis,,,none,,
Acute ischemic left MCA stroke,,,none,,
Acute ischemic stroke with possible hemorrhagic transformation,,,none,,
Acute ITP,,,none,,
Acute kidney failure (CMS-hcc),,,none,,
Acute kidney injury,,,none,,
Acute kidney injury (AKI)  (CMS-hcc),,,none,,
Acute kidney injury (AKI) with acute tubular necrosis (ATN),,,none,,
Acute kidney injury superimposed on chronic kidney disease,Chronic Kidney,N18,cause_name,,
Acute kidney injury superimposed on chronic kidney disease stage IV (CMS-hcc),Chronic Kidney,N18,cause_name,,
Acute kidney injury superimposed on CKD,,,none,,
Acute kidney injury superimposed on CKD III,,,none,,
Acute kidney injury superimposed on CKD stage IIIa,,,none,,
Acute kidney injury superimposed on Stage 3b chronic kidney disease (CMS-hcc),Chronic Kidney,N18,cause_name,,
Acute kidney injury superimposed stage 3a chronic kidney disease (CMS-hcc),Chronic Kidney,N18,cause_name,,
Acute kidney injury with ATN,,,none,,
Acute kidney injury...,,,none,,
Acute lacunar infarction,,,none,,
Acute lacunar stroke,,,none,,
Acute lateral meniscus tear of left knee,,,none,,
Acute lateral meniscus tear of right knee,,,none,,
Acute left ankle pain,,,none,,
Acute Left Lower Limb Ischemia,,,none,,
Acute left systolic heart failure,,,none,,
Acute left-sided CHF (congestive heart failure),CHF (Congestive Heart Failure),I50,cause_name,,
Acute left-sided low back pain,,,none,,
Acute left-sided low back pain with left-sided sciatica,,,none,,
Acute left-sided low back pain with right-sided sciatica,,,none,,
Acute left-sided low back pain without sciatica,,,none,,
Acute low back pain,,,none,,
Acute lower GI bleeding,,,none,,
Acute lower urinary tract infection,,,none,,
Acute lower UTI,,,none,,
Acute medial meniscal tear,,,none,,
Acute medial meniscus tear of right knee,,,none,,
Acute metabolic encephalopathy,,,none,,
Acute MI,,,none,,
Acute MI anterior wall subsequent episode care,,,none,,
Acute MI inferior subsequent episode care,,,none,,
Acute mid back pain,,,none,,
Acute midline low back pain,,,none,,
Acute midline low back pain without sciatica,,,none,,
Acute myocardial infarction,,,none,,
Acute myocardial infarction of anterior wall,,,none,,
Acute myocardial infarction of inferoposterior wall,,,none,,
Acute Myocardial Injury,,,none,,
Acute neck pain,,,none,,
Acute non intractable tension-type headache,,,none,,
Acute non-recurrent maxillary sinusitis,,,none,,
Acute non-ST elevation myocardial infarction (NSTEMI),,,none,,
Acute nonintractable headache,,,none,,
Acute obstructive cholangitis (CMS-HCC),,,none,,
acute on chronic,,,none,,
Acute on chronic anemia,,,none,,
Acute on chronic bilateral low back pain with right-sided sciatica,,,none,,
Acute on Chronic bilateral lumbar radiculopathy with right-sided sciatica,,,none,,
