token,count
"Acquired hypothyroidism",103
"Symptoms and Signs: Near syncope",102
"Tobacco: Tobacco abuse",102
"Precordial pain",101
"Genitourinary and Reproductive: AKI (acute kidney injury)",99
"Bifascicular block",98
"Primary osteoarthritis of left knee",96
"Diabetes mellitus",95
"Cardiac and Vasculature: S",95
"ENT: Allergic rhinitis",93
"Nonrheumatic mitral valve regurgitation",93
"Neuro: TIA (transient ischemic attack)",93
"Pacemaker",93
"Symptoms and Signs: Atypical chest pain",93
"Anxiety",92
"Abnormal ECG",92
"Genitourinary and Reproductive: Hypokalemia",91
"SSS (sick sinus syndrome)",91
"Chronic heart failure with preserved ejection fraction",90
"Hyperglycemia",90
"Genitourinary and Reproductive: Hyponatremia",90
"Pulmonary and Pneumonias: Chronic obstructive pulmonary disease",89
"Hematology and Neoplasia: Iron deficiency anemia",88
"Symptoms and Signs: Chronic fatigue",88
"Coag and Thromboembolic: On anticoagulant therapy",87
"Musculoskeletal and Injuries: Fall",87
"Mitral regurgitation",87
"Atrial flutter",87
"right eye",86
"Hematology and Neoplasia: Prostate cancer",86
"Other: On deep vein thrombosis (DVT) prophylaxis",86
"Cataract",85
"Tobacco: Smoker",84
"left eye",83
"Sick sinus syndrome",83
"Arteriosclerotic heart disease (ASHD)",81
"Hematology and Neoplasia: Leukocytosis",81
"adult (CMS-HCC)",80
"Gastroesophageal reflux disease",80
"Coronary artery calcification",79
"Neuro: Neuropathy (CMS-hcc)",78
"Depression",78
"Coag and Thromboembolic: History of DVT (deep vein thrombosis)",76
"Infectious Disease: COVID",75
"Musculoskeletal and Injuries: Osteoarthritis",75
"Hypertensive heart disease",75
"ENT: Vertigo",74
"Shortness of breath",73
"Abnormal EKG",73
"Hiatal hernia",73
"Pulmonary and Pneumonias: Pulmonary hypertension",72
"Genitourinary and Reproductive: Hypomagnesemia",72
"Genitourinary and Reproductive: BPH (benign prostatic hyperplasia)",72
"Iron deficiency anemia",72
"Endocrine and Metabolic: Pre-diabetes",71
"Family History: Annual physical exam",71
"Hypertensive heart disease without heart failure",69
"Genitourinary and Reproductive: Urinary retention",68
"Atrial tachycardia (HHS-HCC)",68
"Cardiac and Vasculature: HTN (hypertension)",68
"Advance Directives and Health Issues: Need for case management follow-up",68
"P TAVR (transcatheter aortic valve replacement)",68
"Chronic diastolic heart failure",67
"Myopia of both eyes with astigmatism and presbyopia",67
"Dizziness",67
"Biventricular ICD (implantable cardioverter-defibrillator) in place",67
"Cardiac and Vasculature: Hypercholesteremia",67
"Cardiac and Vasculature: NSTEMI (non-ST elevated myocardial infarction)",66
"Musculoskeletal and Injuries: Osteopenia",66
"PSVT (paroxysmal supraventricular tachycardia) (HHS-HCC)",66
"Cardiac and Vasculature: Pure hypercholesterolemia",66
"Pseudophakia",65
"benign",65
"Osteopenia",64
"Cardiac and Vasculature: PAF (paroxysmal atrial fibrillation)",63
"Osteoporosis",63
"B12 deficiency",63
"Hyperkalemia",62
"Musculoskeletal and Injuries: Gout",62
"Gross hematuria",62
"Eye: Cataract",61
"BPH (benign prostatic hyperplasia)",61
"type II",61
"Chronic obstructive pulmonary disease",60
"Osteoarthritis",60
"Nonrheumatic aortic valve insufficiency",59
"Palpitation",59
"Cardiac and Vasculature: Persistent atrial fibrillation",58
"Musculoskeletal and Injuries: Osteoporosis",58
